# Critical Strike Table 4.4-H — Large (Holy Weapon)
# Source: Rolemaster Fantasy Roleplaying — Arms Law (ERA: arms_law)
# Auto-generated by .scratch/build_crit_tables.py from the .era archive.
#
@name:           Large (Holy Weapon)
@table_number:   4.4-H
@crit_type_code: 
@notes:          Source ERA: rmfrpArmsLaw.criticals.era; variant abbreviation 'LPH'.
@column_axis:    severity
#
01-05 | A | No Damage. Large creatures ignore criticals of severity A. | 
99-100 | A | No Damage. Large creatures ignore criticals of severity A. | 
99-100 | B | Your precision surgery blinds foe. He quickly loses his direction and is in trouble. | +5H - 2[Stun No Parry] - (-100)
99-100 | C | Your precision surgery blinds foe. He quickly loses his direction and is in trouble. | +5H - 2[Stun No Parry] - (-100)
99-100 | D | Your precision surgery blinds foe. He quickly loses his direction and is in trouble. | +5H - 2[Stun No Parry] - (-100)
99-100 | E | Your precision surgery blinds foe. He quickly loses his direction and is in trouble. | +5H - 2[Stun No Parry] - (-100)
101-150 | A | No Damage. Large creatures ignore criticals of severity A. | 
101-150 | B | You miss foe's weapon arm, but the strike lands on foe's knee. The results are acceptable. | +3H - 2[Stun] - 2[Bleeding] - (-30)
101-150 | C | You miss foe's weapon arm, but the strike lands on foe's knee. The results are acceptable. | +3H - 2[Stun] - 2[Bleeding] - (-30)
101-150 | D | You miss foe's weapon arm, but the strike lands on foe's knee. The results are acceptable. | +3H - 2[Stun] - 2[Bleeding] - (-30)
101-150 | E | You miss foe's weapon arm, but the strike lands on foe's knee. The results are acceptable. | +3H - 2[Stun] - 2[Bleeding] - (-30)
151-175 | A | No Damage. Large creatures ignore criticals of severity A. | 
151-175 | B | Smooth strike to foe's cheek. Just as he was about to deal you a deadly blow, you crush the side of his head. He dies. You have half the round left. | 
151-175 | C | Smooth strike to foe's cheek. Just as he was about to deal you a deadly blow, you crush the side of his head. He dies. You have half the round left. | 
151-175 | D | Smooth strike to foe's cheek. Just as he was about to deal you a deadly blow, you crush the side of his head. He dies. You have half the round left. | 
151-175 | E | Smooth strike to foe's cheek. Just as he was about to deal you a deadly blow, you crush the side of his head. He dies. You have half the round left. | 
176-200 | A | No Damage. Large creatures ignore criticals of severity A. | 
176-200 | B | Strike penetrates to foe's spine. Spine is broken and foe is paralyzed from the waist down. You will not have trouble killing him. | +20H
176-200 | C | Strike penetrates to foe's spine. Spine is broken and foe is paralyzed from the waist down. You will not have trouble killing him. | +20H
176-200 | D | Strike penetrates to foe's spine. Spine is broken and foe is paralyzed from the waist down. You will not have trouble killing him. | +20H
176-200 | E | Strike penetrates to foe's spine. Spine is broken and foe is paralyzed from the waist down. You will not have trouble killing him. | +20H
201-250 | A | No Damage. Large creatures ignore criticals of severity A. | 
201-250 | B | Your weapon swings out and hammers foe's evil heart. He expires and your sword sings a joyful note. All who see your mighty deed are inspired by it. | +25H - 3(+20)
201-250 | C | Your weapon swings out and hammers foe's evil heart. He expires and your sword sings a joyful note. All who see your mighty deed are inspired by it. | +25H - 3(+20)
201-250 | D | Your weapon swings out and hammers foe's evil heart. He expires and your sword sings a joyful note. All who see your mighty deed are inspired by it. | +25H - 3(+20)
201-250 | E | Your weapon swings out and hammers foe's evil heart. He expires and your sword sings a joyful note. All who see your mighty deed are inspired by it. | +25H - 3(+20)
251-999 | A | No Damage. Large creatures ignore criticals of severity A. | 
251-999 | B | Strike to foe's ribs puntures a lung. Foe is knocked out. Your weapon is stuck in foe for 6 rounds. Good luck. | 
251-999 | C | Strike to foe's ribs puntures a lung. Foe is knocked out. Your weapon is stuck in foe for 6 rounds. Good luck. | 
251-999 | D | Strike to foe's ribs puntures a lung. Foe is knocked out. Your weapon is stuck in foe for 6 rounds. Good luck. | 
251-999 | E | Strike to foe's ribs puntures a lung. Foe is knocked out. Your weapon is stuck in foe for 6 rounds. Good luck. | 
