# Critical Strike Table 4.1 — Brawling
# Transcribed from author-supplied PDF (X:\RMFRPSuite\brawling_crit.pdf).
#
@name:           Brawling
@table_number:   4.1
@crit_type_code:
@notes:
@column_axis:    severity
#
01-05 | A | Feeble. You're getting old. | +0H
66    | B | Hammer foe in his kidneys. You know he is in pain. He grips his side and falls down. Finish him, the pain will not last. | +18H – 3∑ – 6(-60)
66    | C | Nasty strike to foe's mouth knocks out 2 teeth and reduces foe's appearance, by 5, when he smiles. | +9H – 6∑∏ – (-45)
66    | D | Drive your finger into foe's eye, causing blindness. There is a 10% chance that this affliction is permanent. | +15H – (-60)
66    | E | Face strike is so hard foe's cheekbone is shattered. The shards mortally wound foe. He dies after 10 rounds of agony. | (+10)
67-70 | A | Blow to abdomen. Foe bends over and throws up. | +4H – 2∑∏
67-70 | B | Blow to foe's chest. You have mastered the common punch. | +8H – ∑∏
67-70 | C | Strong blow to foe's forearm causes fracture. | +10H – 2∑∏
67-70 | D | Smash foe's hip. You have the initiative next round. | +12H – 2∑∏ – (-10)
67-70 | E | Throw foe into a solid object. He falls down. | +12H
71-75 | A | Leg strike damages muscle and sends foe stumbling back. | +6H – 3∑
71-75 | B | Calf strike delivers a deep bruise. Foe looks down at the damage, forgetting about you. | +10H – 2∑ – ∏
71-75 | C | A light punch unbalances foe. A kick to foe's leg knocks him down. He falls forward under you. | +10H – 2∑∏ – (+5)
71-75 | D | Leg strike causes foe to fall. You push him to hinder his landing and he sprains his ankle. | +12H – 3∑ – (-20)
71-75 | E | Snap palm into place against foe's knee. Tendon and cartilage damage. Foe has difficulty standing. | +15H – 5∑ – (-50)
76-80 | A | Blow to foe's shield arm. If foe has anything that resembles a shield, it is broken. | +8H – 2∑∏
76-80 | B | You snap foe's arm around like a noodle. His wrist is strained with the impact. | +10H – 2∑∏ – (+5)
76-80 | C | Grip foe's weapon arm and drive his fist against a hard surface. Hand is fractured. Foe is disarmed. | +10H – 3∑ – (-30)
76-80 | D | Strong blow to foe's weapon arm fractures his wrist. The pain makes his hand useless. | +15H – 3∑ – (-30)
76-80 | E | Fierce blow to foe's weapon arm breaks bone. Arm is useless. Use arm as leverage to flip foe onto his stomach. | +18H – ∫ – 2∑∏
81-85 | A | Precision strike to foe's arm disarms him. Weapon hand is fractured. Foe is in pain. | +8H – 2∑∏ – (-25)
81-85 | B | Hand strike jams foe's fingers into their sockets. Ouch! Foe drops everything in his hands. | +10H – 3∑ – (-15)
81-85 | C | Strong blow to foe's arm fractures shoulder. You hit his shoulder one more time to make your point. | +10H – 3∑∏ – (-20)
81-85 | D | Grab foe's weapon arm and pull him over. Your kick to the ribs finally drops him to the ground. | +15H – 3∑∏
81-85 | E | Shoulder strike breaks foe's collar bone. Miscellaneous internal organ damage. | +18H – 6∑∏ – ∫ – (-30)
86-90 | A | Two brutal punches to foe's face. This barrage leaves foe confused and swinging in the wrong direction. | +8H – 3∑∏ – (+20)
86-90 | B | Grab foe's weapon arm and beat on it without concern for the rest of foe. Foe is disarmed as ligaments are torn and muscles are pulled. | +10H – 4∑ – (-25)
86-90 | C | Accurate chest strike knocks wind out of foe. He falls over on you and you knock him off with an upper cut. He stand back up and stumbles 5 feet. | +12H – 3∑∏ – (-30)
86-90 | D | Blow to front of foe's neck. His head snaps back, but it does not break his neck. Foe cannot speak for 2-20 hours. He yells in silence. | +18H – 6∑
86-90 | E | Nasty blow ruptures stomach. Foe is knocked down. Internal bleeding is mortal. Foe will die in 20 rounds. He is still active. | +20H – ∑ – 10∫ – (-50)
91-95 | A | Head strike breaks foe's nose. Appearance drops by 5 due to black eyes. | +10H – 3∑∏ – (-25)
91-95 | B | Land a solid shot to foe's head. Foe is definitely impressed. He steps toward you to keep from falling. | +12H – 8∑∏ – (-40)
91-95 | C | Precision strike to foe's head sends him to the ground. You can actually see the stars spinning around his head. | +15H – 9∑∏ – (-35)
91-95 | D | Strong blow to face cracks jawbone. Ow! Jaw is stuck open and foe appears permanently surprised about something. | +20H – 9∑ – (-30) – (+10)
91-95 | E | Blow to foe's side. Bruise ribs, a kidney and a lung. Foe manages to remain standing. Oh that hurts ya know! | +25H – 6∑∏ – (-75)
96-99 | A | Blow to solar plexus causes foe to vomit. He falls to his knees. Foe is unable to do anything but retch. Do you have pity? | +10H
96-99 | B | Groin strike is solid. You kick him again. Your strike leaves foe helpless. Really unkind. | +18H – 12∑∏
96-99 | C | Strike foe in his head. If he has a helm, you pull it off and hit him with it. He is knocked out for 4 hours. If foe has no helm, you knock him out for 5 rounds. | +20H
96-99 | D | Strong blow to the abdomen causes internal bleeding and organ damage. Foe makes it a habit of spitting blood. | +25H – ∫
96-99 | E | Grip foe's neck. You shake him violently, while attempting to choke him. He passes out. You can finish him if you want. | +30 hits – ∫ – (+20)
100   | A | Elbow foe's face and then punch him hard. He is paralyzed from the neck down for 2 days. He falls instantly to the ground. | +13H
100   | B | Strike to foe's head. If he has no helm, he is in a coma for 10-100 days. If foe has a helm it leaves a bruise on his head. Foe drops and is unconscious. | +20H
100   | C | Mighty strike crashes into foe's head. If he has a helmet, he is unconscious for 1-10 days. If he has no helmet, skull collapses and brain is dead. | +25H – ∫
100   | D | Grip foe's arm and pound on foe's head. One shot hits hard. Crushing strike to foe's temple. Foe dies instantly. | —
100   | E | Your strike is frightening. Foe's head snaps to one side. Foe cannot breathe. He looks upon the world one last time and then dies. You are horrified at his doom. | —
