# Critical Strike Table 4.4-S — Large (Slaying Weapon)
# Source: Rolemaster Fantasy Roleplaying — Arms Law (ERA: arms_law)
# Auto-generated by .scratch/build_crit_tables.py from the .era archive.
#
@name:           Large (Slaying Weapon)
@table_number:   4.4-S
@crit_type_code: 
@notes:          Source ERA: rmfrpArmsLaw.criticals.era; variant abbreviation 'LPS'.
@column_axis:    severity
#
01-05 | A | No Damage. Large creatures ignore criticals of severity A. | 
41-50 | B | Your weapon drives deep into foe's abdomen. Blood pours out of foe. He looks looks like a statue in a fountain. | +12H - [No Parry] - 5[Bleeding]
41-50 | C | Your weapon drives deep into foe's abdomen. Blood pours out of foe. He looks looks like a statue in a fountain. | +12H - [No Parry] - 5[Bleeding]
41-50 | D | Your weapon drives deep into foe's abdomen. Blood pours out of foe. He looks looks like a statue in a fountain. | +12H - [No Parry] - 5[Bleeding]
41-50 | E | Your weapon drives deep into foe's abdomen. Blood pours out of foe. He looks looks like a statue in a fountain. | +12H - [No Parry] - 5[Bleeding]
51-65 | A | No Damage. Large creatures ignore criticals of severity A. | 
51-65 | B | Cave in the side of foe's head. Foe is down and dies in 2 rounds. Your foot is pinned under him for a round. | 
51-65 | C | Cave in the side of foe's head. Foe is down and dies in 2 rounds. Your foot is pinned under him for a round. | 
51-65 | D | Cave in the side of foe's head. Foe is down and dies in 2 rounds. Your foot is pinned under him for a round. | 
51-65 | E | Cave in the side of foe's head. Foe is down and dies in 2 rounds. Your foot is pinned under him for a round. | 
66 | A | No Damage. Large creatures ignore criticals of severity A. | 
66 | B | Chest wound knocks foe down. | +10H - 2[Stun No Parry]
66 | C | Chest wound knocks foe down. | +10H - 2[Stun No Parry]
66 | D | Chest wound knocks foe down. | +10H - 2[Stun No Parry]
66 | E | Chest wound knocks foe down. | +10H - 2[Stun No Parry]
67-70 | A | No Damage. Large creatures ignore criticals of severity A. | 
67-70 | B | Plunge weapon into foe's heart. Your weapon seems to know the way. The wound is instantly mortal. He dies. | +20H - (+10)
67-70 | C | Plunge weapon into foe's heart. Your weapon seems to know the way. The wound is instantly mortal. He dies. | +20H - (+10)
67-70 | D | Plunge weapon into foe's heart. Your weapon seems to know the way. The wound is instantly mortal. He dies. | +20H - (+10)
67-70 | E | Plunge weapon into foe's heart. Your weapon seems to know the way. The wound is instantly mortal. He dies. | +20H - (+10)
71-80 | A | No Damage. Large creatures ignore criticals of severity A. | 
71-80 | B | Strike comes up under foe's arm. Blow breaks bones in upper arm. Arm is useless. Foe stumbles back. | +15H - 3[Stun]
71-80 | C | Strike comes up under foe's arm. Blow breaks bones in upper arm. Arm is useless. Foe stumbles back. | +15H - 3[Stun]
71-80 | D | Strike comes up under foe's arm. Blow breaks bones in upper arm. Arm is useless. Foe stumbles back. | +15H - 3[Stun]
71-80 | E | Strike comes up under foe's arm. Blow breaks bones in upper arm. Arm is useless. Foe stumbles back. | +15H - 3[Stun]
81-90 | A | No Damage. Large creatures ignore criticals of severity A. | 
81-90 | B | You see the opportunity you have needed. A legendary strike to foe's chest destroys heart and other vital organs. He drops and dies instantly. | +25H - (+15)
81-90 | C | You see the opportunity you have needed. A legendary strike to foe's chest destroys heart and other vital organs. He drops and dies instantly. | +25H - (+15)
81-90 | D | You see the opportunity you have needed. A legendary strike to foe's chest destroys heart and other vital organs. He drops and dies instantly. | +25H - (+15)
81-90 | E | You see the opportunity you have needed. A legendary strike to foe's chest destroys heart and other vital organs. He drops and dies instantly. | +25H - (+15)
91-95 | A | No Damage. Large creatures ignore criticals of severity A. | 
91-95 | B | Blow to foe's leg slashes an artery open. Foe falls gripping his leg. He is inactive for 12 sad rounds and then dies. | 
91-95 | C | Blow to foe's leg slashes an artery open. Foe falls gripping his leg. He is inactive for 12 sad rounds and then dies. | 
91-95 | D | Blow to foe's leg slashes an artery open. Foe falls gripping his leg. He is inactive for 12 sad rounds and then dies. | 
91-95 | E | Blow to foe's leg slashes an artery open. Foe falls gripping his leg. He is inactive for 12 sad rounds and then dies. | 
96-98 | A | No Damage. Large creatures ignore criticals of severity A. | 
96-98 | B | True to its name, your weapon slays foe by crushing his skull. Parts of bone fly in all directions. Not a pretty sight. Foe drops instantly to the ground. | 
96-98 | C | True to its name, your weapon slays foe by crushing his skull. Parts of bone fly in all directions. Not a pretty sight. Foe drops instantly to the ground. | 
96-98 | D | True to its name, your weapon slays foe by crushing his skull. Parts of bone fly in all directions. Not a pretty sight. Foe drops instantly to the ground. | 
96-98 | E | True to its name, your weapon slays foe by crushing his skull. Parts of bone fly in all directions. Not a pretty sight. Foe drops instantly to the ground. | 
99-100 | A | No Damage. Large creatures ignore criticals of severity A. | 
99-100 | B | Strike foe in his face. His cheek bones collapse. His neck is a bloody pulp. He dies a round later. Your weapon is lodged in foe. | 
99-100 | C | Strike foe in his face. His cheek bones collapse. His neck is a bloody pulp. He dies a round later. Your weapon is lodged in foe. | 
99-100 | D | Strike foe in his face. His cheek bones collapse. His neck is a bloody pulp. He dies a round later. Your weapon is lodged in foe. | 
99-100 | E | Strike foe in his face. His cheek bones collapse. His neck is a bloody pulp. He dies a round later. Your weapon is lodged in foe. | 
101-150 | A | No Damage. Large creatures ignore criticals of severity A. | 
101-150 | B | Sever a vein in foe's forelimb. He falls to his knees. Blood is everywhere. He dies in 6 rounds. | +20H - 6[Stun No Parry] - 12[Bleeding]
101-150 | C | Sever a vein in foe's forelimb. He falls to his knees. Blood is everywhere. He dies in 6 rounds. | +20H - 6[Stun No Parry] - 12[Bleeding]
101-150 | D | Sever a vein in foe's forelimb. He falls to his knees. Blood is everywhere. He dies in 6 rounds. | +20H - 6[Stun No Parry] - 12[Bleeding]
101-150 | E | Sever a vein in foe's forelimb. He falls to his knees. Blood is everywhere. He dies in 6 rounds. | +20H - 6[Stun No Parry] - 12[Bleeding]
151-175 | A | No Damage. Large creatures ignore criticals of severity A. | 
151-175 | B | You almost sever foe's head, with a mighty blow to his neck. Foe is inactive and dies in 5 rounds. | (+20)
151-175 | C | You almost sever foe's head, with a mighty blow to his neck. Foe is inactive and dies in 5 rounds. | (+20)
151-175 | D | You almost sever foe's head, with a mighty blow to his neck. Foe is inactive and dies in 5 rounds. | (+20)
151-175 | E | You almost sever foe's head, with a mighty blow to his neck. Foe is inactive and dies in 5 rounds. | (+20)
176-200 | A | No Damage. Large creatures ignore criticals of severity A. | 
176-200 | B | Strike to abdomen damages a variety of organs. Internal bleeding will kill foe in 4 rounds. You have half the round to act. | (+20)
176-200 | C | Strike to abdomen damages a variety of organs. Internal bleeding will kill foe in 4 rounds. You have half the round to act. | (+20)
176-200 | D | Strike to abdomen damages a variety of organs. Internal bleeding will kill foe in 4 rounds. You have half the round to act. | (+20)
176-200 | E | Strike to abdomen damages a variety of organs. Internal bleeding will kill foe in 4 rounds. You have half the round to act. | (+20)
201-250 | A | No Damage. Large creatures ignore criticals of severity A. | 
201-250 | B | Snap foe's head and break his neck. Foe drops and dies. You may direct another attack at anything you can reach. | 
201-250 | C | Snap foe's head and break his neck. Foe drops and dies. You may direct another attack at anything you can reach. | 
201-250 | D | Snap foe's head and break his neck. Foe drops and dies. You may direct another attack at anything you can reach. | 
201-250 | E | Snap foe's head and break his neck. Foe drops and dies. You may direct another attack at anything you can reach. | 
251-999 | A | No Damage. Large creatures ignore criticals of severity A. | 
251-999 | B | Drive foe's eyes back into his skull, with a cross strike. Foe is blind and prone. Foe is in pain. He does not even try to get up. | +6H - 24[Stun No Parry]
251-999 | C | Drive foe's eyes back into his skull, with a cross strike. Foe is blind and prone. Foe is in pain. He does not even try to get up. | +6H - 24[Stun No Parry]
251-999 | D | Drive foe's eyes back into his skull, with a cross strike. Foe is blind and prone. Foe is in pain. He does not even try to get up. | +6H - 24[Stun No Parry]
251-999 | E | Drive foe's eyes back into his skull, with a cross strike. Foe is blind and prone. Foe is in pain. He does not even try to get up. | +6H - 24[Stun No Parry]
