# Critical Strike Table 4.4-N — Large (Normal Weapon)
# Source: Rolemaster Fantasy Roleplaying — Arms Law (ERA: arms_law)
# Auto-generated by .scratch/build_crit_tables.py from the .era archive.
#
@name:           Large (Normal Weapon)
@table_number:   4.4-N
@crit_type_code: 
@notes:          Source ERA: rmfrpArmsLaw.criticals.era; variant abbreviation 'LPN'.
@column_axis:    severity
#
01-05 | A | No Damage. Large creatures ignore criticals of severity A. | 
71-80 | B | Arm strike gives foe a bruise. | +30H
71-80 | C | Arm strike gives foe a bruise. | +30H
71-80 | D | Arm strike gives foe a bruise. | +30H
71-80 | E | Arm strike gives foe a bruise. | +30H
81-90 | A | No Damage. Large creatures ignore criticals of severity A. | 
81-90 | B | Strong blast to foe's stomach staggers foe. His guard drops for a moment. You have a chance. | +20H - 2[Stun No Parry] - (+10)
81-90 | C | Strong blast to foe's stomach staggers foe. His guard drops for a moment. You have a chance. | +20H - 2[Stun No Parry] - (+10)
81-90 | D | Strong blast to foe's stomach staggers foe. His guard drops for a moment. You have a chance. | +20H - 2[Stun No Parry] - (+10)
81-90 | E | Strong blast to foe's stomach staggers foe. His guard drops for a moment. You have a chance. | +20H - 2[Stun No Parry] - (+10)
91-95 | A | No Damage. Large creatures ignore criticals of severity A. | 
91-95 | B | Strong blow to foe's leg yields a gaping wound. If foe has blood, you see a lot of it. | +18H - 3[Stun] - 5[Bleeding] -(-10)
91-95 | C | Strong blow to foe's leg yields a gaping wound. If foe has blood, you see a lot of it. | +18H - 3[Stun] - 5[Bleeding] -(-10)
91-95 | D | Strong blow to foe's leg yields a gaping wound. If foe has blood, you see a lot of it. | +18H - 3[Stun] - 5[Bleeding] -(-10)
91-95 | E | Strong blow to foe's leg yields a gaping wound. If foe has blood, you see a lot of it. | +18H - 3[Stun] - 5[Bleeding] -(-10)
96-98 | A | No Damage. Large creatures ignore criticals of severity A. | 
96-98 | B | Plunge your weapon into foe's heart. Foe dies instantly, and falls on you. You are pinned for 6 rounds and +20H! | 
96-98 | C | Plunge your weapon into foe's heart. Foe dies instantly, and falls on you. You are pinned for 6 rounds and +20H! | 
96-98 | D | Plunge your weapon into foe's heart. Foe dies instantly, and falls on you. You are pinned for 6 rounds and +20H! | 
96-98 | E | Plunge your weapon into foe's heart. Foe dies instantly, and falls on you. You are pinned for 6 rounds and +20H! | 
99-100 | A | No Damage. Large creatures ignore criticals of severity A. | 
99-100 | B | Strike through foe's lungs. Foe falls down and dies after 6 rounds. Allies get a bonus! +24H - (+20) | 
99-100 | C | Strike through foe's lungs. Foe falls down and dies after 6 rounds. Allies get a bonus! +24H - (+20) | 
99-100 | D | Strike through foe's lungs. Foe falls down and dies after 6 rounds. Allies get a bonus! +24H - (+20) | 
99-100 | E | Strike through foe's lungs. Foe falls down and dies after 6 rounds. Allies get a bonus! +24H - (+20) | 
101-150 | A | No Damage. Large creatures ignore criticals of severity A. | 
101-150 | B | Awesome strike to shoulder sends foe stumbling. He has trouble getting his balance back. | +50H - 3[Stun No Parry] - (-35)
101-150 | C | Awesome strike to shoulder sends foe stumbling. He has trouble getting his balance back. | +50H - 3[Stun No Parry] - (-35)
101-150 | D | Awesome strike to shoulder sends foe stumbling. He has trouble getting his balance back. | +50H - 3[Stun No Parry] - (-35)
101-150 | E | Awesome strike to shoulder sends foe stumbling. He has trouble getting his balance back. | +50H - 3[Stun No Parry] - (-35)
151-175 | A | No Damage. Large creatures ignore criticals of severity A. | 
151-175 | B | Strike drives bone into kidneys and liver. Foe drops and dies in 6 rounds. What a pity. | 
151-175 | C | Strike drives bone into kidneys and liver. Foe drops and dies in 6 rounds. What a pity. | 
151-175 | D | Strike drives bone into kidneys and liver. Foe drops and dies in 6 rounds. What a pity. | 
151-175 | E | Strike drives bone into kidneys and liver. Foe drops and dies in 6 rounds. What a pity. | 
176-200 | A | No Damage. Large creatures ignore criticals of severity A. | 
176-200 | B | Strike to bowels destroys foe's abdomenal areas. Foe's blood is all over you. Foe dies in 12 rounds. | +35H - (+15)
176-200 | C | Strike to bowels destroys foe's abdomenal areas. Foe's blood is all over you. Foe dies in 12 rounds. | +35H - (+15)
176-200 | D | Strike to bowels destroys foe's abdomenal areas. Foe's blood is all over you. Foe dies in 12 rounds. | +35H - (+15)
176-200 | E | Strike to bowels destroys foe's abdomenal areas. Foe's blood is all over you. Foe dies in 12 rounds. | +35H - (+15)
201-250 | A | No Damage. Large creatures ignore criticals of severity A. | 
201-250 | B | Blow to foe's forearm severs a vein. Foe dies in 7 rounds from shock and blood loss. He is still standing. | +15H - 6[Stun] - (-30)
201-250 | C | Blow to foe's forearm severs a vein. Foe dies in 7 rounds from shock and blood loss. He is still standing. | +15H - 6[Stun] - (-30)
201-250 | D | Blow to foe's forearm severs a vein. Foe dies in 7 rounds from shock and blood loss. He is still standing. | +15H - 6[Stun] - (-30)
201-250 | E | Blow to foe's forearm severs a vein. Foe dies in 7 rounds from shock and blood loss. He is still standing. | +15H - 6[Stun] - (-30)
251-999 | A | No Damage. Large creatures ignore criticals of severity A. | 
251-999 | B | You grapple your foe and deal him a mighty blow. You are knocked out. Foe is also impaired. | +35H - 3[Stun No Parry]
251-999 | C | You grapple your foe and deal him a mighty blow. You are knocked out. Foe is also impaired. | +35H - 3[Stun No Parry]
251-999 | D | You grapple your foe and deal him a mighty blow. You are knocked out. Foe is also impaired. | +35H - 3[Stun No Parry]
251-999 | E | You grapple your foe and deal him a mighty blow. You are knocked out. Foe is also impaired. | +35H - 3[Stun No Parry]
