# Critical Strike Table 4.4-O — Large (Mithril Weapon)
# Source: Rolemaster Fantasy Roleplaying — Arms Law (ERA: arms_law)
# Auto-generated by .scratch/build_crit_tables.py from the .era archive.
#
@name:           Large (Mithril Weapon)
@table_number:   4.4-O
@crit_type_code: 
@notes:          Source ERA: rmfrpArmsLaw.criticals.era; variant abbreviation 'LPO'.
@column_axis:    severity
#
01-05 | A | No Damage. Large creatures ignore criticals of severity A. | 
51-65 | A | No Damage. Large creatures ignore criticals of severity A. | 
51-65 | B | Grip foe's hide for leverage, before you strike. Blow lands solid, but he throws you clear. | +30H
51-65 | C | Grip foe's hide for leverage, before you strike. Blow lands solid, but he throws you clear. | +30H
51-65 | D | Grip foe's hide for leverage, before you strike. Blow lands solid, but he throws you clear. | +30H
51-65 | E | Grip foe's hide for leverage, before you strike. Blow lands solid, but he throws you clear. | +30H
66 | A | No Damage. Large creatures ignore criticals of severity A. | 
66 | B | Strike to foe's heart. He dies instantly. You hit him one more time to make sure he is dead. Very clean kill. | 
66 | C | Strike to foe's heart. He dies instantly. You hit him one more time to make sure he is dead. Very clean kill. | 
66 | D | Strike to foe's heart. He dies instantly. You hit him one more time to make sure he is dead. Very clean kill. | 
66 | E | Strike to foe's heart. He dies instantly. You hit him one more time to make sure he is dead. Very clean kill. | 
67-70 | A | No Damage. Large creatures ignore criticals of severity A. | 
67-70 | B | Strike to foe's thigh. Despite his size, it sends him back. Your Mithril bites deep and leaves a painful wound. | +15H - 2[Stun] - (-20) - (+10)
67-70 | C | Strike to foe's thigh. Despite his size, it sends him back. Your Mithril bites deep and leaves a painful wound. | +15H - 2[Stun] - (-20) - (+10)
67-70 | D | Strike to foe's thigh. Despite his size, it sends him back. Your Mithril bites deep and leaves a painful wound. | +15H - 2[Stun] - (-20) - (+10)
67-70 | E | Strike to foe's thigh. Despite his size, it sends him back. Your Mithril bites deep and leaves a painful wound. | +15H - 2[Stun] - (-20) - (+10)
71-80 | A | No Damage. Large creatures ignore criticals of severity A. | 
71-80 | B | Tear him up! Your strike lands along foe's arm. The wound is bleeding everywhere. It's all over you, as well. | +20H - 2[Stun No Parry] - 3[Bleeding]
71-80 | C | Tear him up! Your strike lands along foe's arm. The wound is bleeding everywhere. It's all over you, as well. | +20H - 2[Stun No Parry] - 3[Bleeding]
71-80 | D | Tear him up! Your strike lands along foe's arm. The wound is bleeding everywhere. It's all over you, as well. | +20H - 2[Stun No Parry] - 3[Bleeding]
71-80 | E | Tear him up! Your strike lands along foe's arm. The wound is bleeding everywhere. It's all over you, as well. | +20H - 2[Stun No Parry] - 3[Bleeding]
81-90 | A | No Damage. Large creatures ignore criticals of severity A. | 
81-90 | B | Reverse your strike to catch foe in his lower leg. He stumbles back out of reach. | +15H - 2[Stun] - 2[Bleeding] - (-20)
81-90 | C | Reverse your strike to catch foe in his lower leg. He stumbles back out of reach. | +15H - 2[Stun] - 2[Bleeding] - (-20)
81-90 | D | Reverse your strike to catch foe in his lower leg. He stumbles back out of reach. | +15H - 2[Stun] - 2[Bleeding] - (-20)
81-90 | E | Reverse your strike to catch foe in his lower leg. He stumbles back out of reach. | +15H - 2[Stun] - 2[Bleeding] - (-20)
91-95 | A | No Damage. Large creatures ignore criticals of severity A. | 
91-95 | B | Weapon impacts upon foe's head with unmatched force. Foe comes over and is knocked out. | +30H - (+10)
91-95 | C | Weapon impacts upon foe's head with unmatched force. Foe comes over and is knocked out. | +30H - (+10)
91-95 | D | Weapon impacts upon foe's head with unmatched force. Foe comes over and is knocked out. | +30H - (+10)
91-95 | E | Weapon impacts upon foe's head with unmatched force. Foe comes over and is knocked out. | +30H - (+10)
96-98 | A | No Damage. Large creatures ignore criticals of severity A. | 
96-98 | B | Strike foe in his head and destroy his brain. If that's not power, what is? You have half the round left to act. | 
96-98 | C | Strike foe in his head and destroy his brain. If that's not power, what is? You have half the round left to act. | 
96-98 | D | Strike foe in his head and destroy his brain. If that's not power, what is? You have half the round left to act. | 
96-98 | E | Strike foe in his head and destroy his brain. If that's not power, what is? You have half the round left to act. | 
99-100 | A | No Damage. Large creatures ignore criticals of severity A. | 
99-100 | B | You find a weak point and hammer foe's neck. Your weapon sticks in foe for 2 rounds, while he struggles to breathe. He dies in 6 rounds. | +20H - 6[Stun No Parry]
99-100 | C | You find a weak point and hammer foe's neck. Your weapon sticks in foe for 2 rounds, while he struggles to breathe. He dies in 6 rounds. | +20H - 6[Stun No Parry]
99-100 | D | You find a weak point and hammer foe's neck. Your weapon sticks in foe for 2 rounds, while he struggles to breathe. He dies in 6 rounds. | +20H - 6[Stun No Parry]
99-100 | E | You find a weak point and hammer foe's neck. Your weapon sticks in foe for 2 rounds, while he struggles to breathe. He dies in 6 rounds. | +20H - 6[Stun No Parry]
101-150 | A | No Damage. Large creatures ignore criticals of severity A. | 
101-150 | B | Catch foe in chin with all your weight behind the weapon. Head snaps back and chin shatters. Foe is knocked out for 30 days. | +60H
101-150 | C | Catch foe in chin with all your weight behind the weapon. Head snaps back and chin shatters. Foe is knocked out for 30 days. | +60H
101-150 | D | Catch foe in chin with all your weight behind the weapon. Head snaps back and chin shatters. Foe is knocked out for 30 days. | +60H
101-150 | E | Catch foe in chin with all your weight behind the weapon. Head snaps back and chin shatters. Foe is knocked out for 30 days. | +60H
151-175 | A | No Damage. Large creatures ignore criticals of severity A. | 
151-175 | B | Strike foe in the abdomen. The wound is mortal. A variety of important organs are destroyed on impact. Foe drops and dies after 6 rounds. | 
151-175 | C | Strike foe in the abdomen. The wound is mortal. A variety of important organs are destroyed on impact. Foe drops and dies after 6 rounds. | 
151-175 | D | Strike foe in the abdomen. The wound is mortal. A variety of important organs are destroyed on impact. Foe drops and dies after 6 rounds. | 
151-175 | E | Strike foe in the abdomen. The wound is mortal. A variety of important organs are destroyed on impact. Foe drops and dies after 6 rounds. | 
176-200 | A | No Damage. Large creatures ignore criticals of severity A. | 
176-200 | B | Death comes swiftly! Your strike severs an artery in foe's leg. Foe fights for 2 rounds, then drops and dies in 6 rounds. | +5H - 2(-20)
176-200 | C | Death comes swiftly! Your strike severs an artery in foe's leg. Foe fights for 2 rounds, then drops and dies in 6 rounds. | +5H - 2(-20)
176-200 | D | Death comes swiftly! Your strike severs an artery in foe's leg. Foe fights for 2 rounds, then drops and dies in 6 rounds. | +5H - 2(-20)
176-200 | E | Death comes swiftly! Your strike severs an artery in foe's leg. Foe fights for 2 rounds, then drops and dies in 6 rounds. | +5H - 2(-20)
201-250 | A | No Damage. Large creatures ignore criticals of severity A. | 
201-250 | B | Heart strike. Your foe dies in true epic form. He tumbles backwards and lands with a thunderous sound. Your strike knocks you to your knees. Foe is dead. | +20H - 2(+15)
201-250 | C | Heart strike. Your foe dies in true epic form. He tumbles backwards and lands with a thunderous sound. Your strike knocks you to your knees. Foe is dead. | +20H - 2(+15)
201-250 | D | Heart strike. Your foe dies in true epic form. He tumbles backwards and lands with a thunderous sound. Your strike knocks you to your knees. Foe is dead. | +20H - 2(+15)
201-250 | E | Heart strike. Your foe dies in true epic form. He tumbles backwards and lands with a thunderous sound. Your strike knocks you to your knees. Foe is dead. | +20H - 2(+15)
251-999 | A | No Damage. Large creatures ignore criticals of severity A. | 
251-999 | B | You blind foe with a vicious crossing strike to the eyes. He grips his face and falls to his kness. | +10H - 6[Stun] - (-100)
251-999 | C | You blind foe with a vicious crossing strike to the eyes. He grips his face and falls to his kness. | +10H - 6[Stun] - (-100)
251-999 | D | You blind foe with a vicious crossing strike to the eyes. He grips his face and falls to his kness. | +10H - 6[Stun] - (-100)
251-999 | E | You blind foe with a vicious crossing strike to the eyes. He grips his face and falls to his kness. | +10H - 6[Stun] - (-100)
