# Critical Strike Table 6.5-LS — Large (Slaying Spell)
# Source: Rolemaster Fantasy Roleplaying — Spell Law (ERA: spell_law)
# Auto-generated by .scratch/build_crit_tables.py from the .era archive.
#
@name:           Large (Slaying Spell)
@table_number:   6.5-LS
@crit_type_code: 
@notes:          Source ERA: rmfrpSpellLaw.criticals.era; variant abbreviation 'LMS'.
@column_axis:    severity
#
01-05 | A | No Damage. Large creatures ignore criticals of severity A. | 
71-80 | B | Etch a nasty wound in foe's chest over his vitals. He is upset greatly. You have initiative for 6 rounds. | +12H - 3[Stun]
71-80 | C | Etch a nasty wound in foe's chest over his vitals. He is upset greatly. You have initiative for 6 rounds. | +12H - 3[Stun]
71-80 | D | Etch a nasty wound in foe's chest over his vitals. He is upset greatly. You have initiative for 6 rounds. | +12H - 3[Stun]
71-80 | E | Etch a nasty wound in foe's chest over his vitals. He is upset greatly. You have initiative for 6 rounds. | +12H - 3[Stun]
81-90 | A | No Damage. Large creatures ignore criticals of severity A. | 
81-90 | B | Blow to foe's arm joint lands poorly. Foe will have a bruise. You think you know what went wrong. | +25H - 3[Stun]
81-90 | C | Blow to foe's arm joint lands poorly. Foe will have a bruise. You think you know what went wrong. | +25H - 3[Stun]
81-90 | D | Blow to foe's arm joint lands poorly. Foe will have a bruise. You think you know what went wrong. | +25H - 3[Stun]
81-90 | E | Blow to foe's arm joint lands poorly. Foe will have a bruise. You think you know what went wrong. | +25H - 3[Stun]
91-95 | A | No Damage. Large creatures ignore criticals of severity A. | 
91-95 | B | You concentrate the energy of the strike and fracture foe's leg bone. | 2[Stun No Parry] - (-30)
91-95 | C | You concentrate the energy of the strike and fracture foe's leg bone. | 2[Stun No Parry] - (-30)
91-95 | D | You concentrate the energy of the strike and fracture foe's leg bone. | 2[Stun No Parry] - (-30)
91-95 | E | You concentrate the energy of the strike and fracture foe's leg bone. | 2[Stun No Parry] - (-30)
96-98 | A | No Damage. Large creatures ignore criticals of severity A. | 
96-98 | B | You are a mighty enchanter. Your strike hits foe's chest and neck. His neck is broken. Foe drops and dies. | (+15)
96-98 | C | You are a mighty enchanter. Your strike hits foe's chest and neck. His neck is broken. Foe drops and dies. | (+15)
96-98 | D | You are a mighty enchanter. Your strike hits foe's chest and neck. His neck is broken. Foe drops and dies. | (+15)
96-98 | E | You are a mighty enchanter. Your strike hits foe's chest and neck. His neck is broken. Foe drops and dies. | (+15)
99-100 | A | No Damage. Large creatures ignore criticals of severity A. | 
99-100 | B | Perfect aim. Foe's carotid artery and jugular vein are torn open. Foe drops and dies in 3 rounds. | 
99-100 | C | Perfect aim. Foe's carotid artery and jugular vein are torn open. Foe drops and dies in 3 rounds. | 
99-100 | D | Perfect aim. Foe's carotid artery and jugular vein are torn open. Foe drops and dies in 3 rounds. | 
99-100 | E | Perfect aim. Foe's carotid artery and jugular vein are torn open. Foe drops and dies in 3 rounds. | 
101-150 | A | No Damage. Large creatures ignore criticals of severity A. | 
101-150 | B | Side strike. Attack careens down foe's chest and leg. Skin is torn away. Foe roars his defiance. | +35H - 5[Stun No Parry]
101-150 | C | Side strike. Attack careens down foe's chest and leg. Skin is torn away. Foe roars his defiance. | +35H - 5[Stun No Parry]
101-150 | D | Side strike. Attack careens down foe's chest and leg. Skin is torn away. Foe roars his defiance. | +35H - 5[Stun No Parry]
101-150 | E | Side strike. Attack careens down foe's chest and leg. Skin is torn away. Foe roars his defiance. | +35H - 5[Stun No Parry]
151-175 | A | No Damage. Large creatures ignore criticals of severity A. | 
151-175 | B | Fracture a bone in foe's forearm. It twists in a painful direction. His guard is down. | +40H - 6[Stun No Parry] - (-25)
151-175 | C | Fracture a bone in foe's forearm. It twists in a painful direction. His guard is down. | +40H - 6[Stun No Parry] - (-25)
151-175 | D | Fracture a bone in foe's forearm. It twists in a painful direction. His guard is down. | +40H - 6[Stun No Parry] - (-25)
151-175 | E | Fracture a bone in foe's forearm. It twists in a painful direction. His guard is down. | +40H - 6[Stun No Parry] - (-25)
176-200 | A | No Damage. Large creatures ignore criticals of severity A. | 
176-200 | B | He is knocked down and out. Ribs are shattered. The concussion causes internal bleeding. 10[Bleeding] - (-50) | 
176-200 | C | He is knocked down and out. Ribs are shattered. The concussion causes internal bleeding. 10[Bleeding] - (-50) | 
176-200 | D | He is knocked down and out. Ribs are shattered. The concussion causes internal bleeding. 10[Bleeding] - (-50) | 
176-200 | E | He is knocked down and out. Ribs are shattered. The concussion causes internal bleeding. 10[Bleeding] - (-50) | 
201-250 | A | No Damage. Large creatures ignore criticals of severity A. | 
201-250 | B | Assault causes mortal damage. Foe's organs fail. He is inacitve and dies after 3 rounds. | +50H
201-250 | C | Assault causes mortal damage. Foe's organs fail. He is inacitve and dies after 3 rounds. | +50H
201-250 | D | Assault causes mortal damage. Foe's organs fail. He is inacitve and dies after 3 rounds. | +50H
201-250 | E | Assault causes mortal damage. Foe's organs fail. He is inacitve and dies after 3 rounds. | +50H
251-999 | A | No Damage. Large creatures ignore criticals of severity A. | 
251-999 | B | Impact of blast drives content of skull in all directions. Foe falls and flails around violently. He dies instantly. | 
251-999 | C | Impact of blast drives content of skull in all directions. Foe falls and flails around violently. He dies instantly. | 
251-999 | D | Impact of blast drives content of skull in all directions. Foe falls and flails around violently. He dies instantly. | 
251-999 | E | Impact of blast drives content of skull in all directions. Foe falls and flails around violently. He dies instantly. | 
