# Critical Strike Table 4.3 — Krush
# Transcribed from author-supplied PDF (X:\RMFRPSuite\krush_crit.pdf).
#
@name:           Krush
@table_number:   4.3
@crit_type_code: K
@notes:
@column_axis:    severity
#
01-05 | A | Not very impressive. | +0H
81-85 | E | Blow to foe's armpit. Crush ribs and destroy organs. Foe dies in 3 rounds. | +30H
86-90 | A | Strike foe in lower back. Muscles and cartilage are damaged. | +12H – 3∑∏ – (-25)
86-90 | B | Foe makes a mistake and pays. You send him prone with a fell strike. Tendons are smashed. | 4∑∏ – (-30)
86-90 | C | Powerful blow sweeps foe onto his back. Bones break and muscles tear. | +20H – 6∑ – (-50)
86-90 | D | Blow to foe's neck. If foe has a throat protector, he is paralyzed from the neck down. If not, he dies in two rounds. | +25H
86-90 | E | Neck strike shatters bone and severs an artery. Foe cannot breath. Foe is inactive and suffocates in 12 rounds. | —
91-95 | A | Break foe's nose. | +10H – 2∑∏ | with nose guard
91-95 | A | Break foe's nose. | +15H – 3∑∏ | without nose guard
91-95 | B | Strike to foe's head. If he has no helm, he falls into a coma for 3 weeks. | +20H – 12∑
91-95 | C | Blow to thigh. Compound fracture severs an artery. Foe goes down hard and dies in 12 rounds. | +9H
91-95 | D | Strike comes down on the shield shoulder of foe. Arm shatters. Foe dies from shock and blood loss in 9 rounds. | —
91-95 | E | Blast to foe's back. A bone is driven into vital organs. Foe is down and dies in six rounds. | +25H
96-99 | A | Blow to foe's head. If foe has no helm, he is dead. If foe has a helm, he is knocked down. | +20H – 6∑
96-99 | B | Blast foe's chest. Send ribcage into heart. Foe drops and dies in 6 rounds. | (+20)
96-99 | C | Blow to foe's abdomen. Strike destroys a variety of organs. Poor fool expires after 6 rounds of inactivity. | —
96-99 | D | Crush foe's chest cavity. He grips your arm, looks into your eyes, then drops and dies in 3 rounds. | (+25)
96-99 | E | Blow to foe's face. If visored, the visor is driven into his face and foe dies in 10 rounds. Without a visor, he dies instantly. You have half the round left. | +30H – (+20)
100   | A | Crush foe's jaw. Drive bone through brain. Foe dies instantly. | +50H – (+20)
100   | B | Blow snaps neck. Foe is paralyzed from the shoulders down. | +25H – 15∑
100   | C | Strike to forehead. Destroy foe's eyes. Send his helm flying. Foe is spun about. | +30H – 24∑∏
100   | D | Blast to foe's heart. It stops. He dies. You consider yourself to be deadly. Fine work. You are ready to slay. | +25H
100   | E | Blow turns hip to dust. Foe falls down. Attempts to stand. Falls again and dies in 6 rounds. | +35H – 2∑ – 6(-30)
